AeroDyn airfoil file Created with QBlade v0.8 on 28.03.2015 at 15:16:44 Compatible with AeroDyn v13.0.
Polar "T1_Re0.130_M0.00_N9.0" on Foil "NACA 0020" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.66184        Cn slope for zero lift for linear Cn curve (1/rad)
0.9873         Cn at stall value for positive angle of attack for linear Cn curve
0.0557         Cn at stall value for negative angle of attack for linear Cn curve
0.50           Angle of attack for minimum CD (deg)
0.0172         Minimum CD value
      0.50    0.0556    0.0172
      1.00    0.1118    0.0174
      1.50    0.1691    0.0177
      2.00    0.2278    0.0182
      2.50    0.2878    0.0187
      3.00    0.3490    0.0192
      3.50    0.4292    0.0199
      4.00    0.5097    0.0205
      4.50    0.5833    0.0210
      5.00    0.6566    0.0214
      5.50    0.7396    0.0219
      6.00    0.8208    0.0224
      6.50    0.9012    0.0228
      7.00    0.9675    0.0232
      7.50    0.9926    0.0238
      8.00    1.0120    0.0244
      8.50    1.0314    0.0253
      9.00    1.0514    0.0262
      9.50    1.0581    0.0270
     10.00    1.0704    0.0281
     10.50    1.0768    0.0291
     11.00    1.0854    0.0306
     11.50    1.0857    0.0317
     12.00    1.1000    0.0336
     12.50    1.1079    0.0354
     13.00    1.1348    0.0379
     13.50    1.1313    0.0409
     14.00    1.1500    0.0432
     14.50    1.1511    0.0473
     15.00    1.1351    0.0524
     15.50    1.1395    0.0565
     16.00    1.1439    0.0620
     16.50    1.0761    0.0739
     17.50    0.6002    0.1902
     18.00    0.6120    0.2011
     18.50    0.5852    0.2056
     19.00    0.6128    0.2109
     19.50    0.6622    0.2226
     20.00    0.6257    0.2256
     20.50    0.6487    0.2304
     21.00    0.6835    0.2380
     21.50    0.6978    0.2488
     22.00    0.6880    0.2496
     22.50    0.7088    0.2548
     23.00    0.7366    0.2622
     23.50    0.7626    0.2770
     24.00    0.7502    0.2740
     24.50    0.7683    0.2792
     25.00    0.7895    0.2850
     25.50    0.8200    0.2982
     26.00    0.8223    0.3026
     26.50    0.8262    0.3052
     27.00    0.8423    0.3110
     27.50    0.8600    0.3168
     28.00    0.8806    0.3249
     28.50    0.9029    0.3420
     29.00    0.8999    0.3381
     29.50    0.9117    0.3439
     30.00    0.9261    0.3499
     30.50    0.9413    0.3557
     31.00    0.9583    0.3631
     31.50    0.9781    0.3813
     32.00    0.9814    0.3808
     32.50    0.9889    0.3842
     33.00    1.0008    0.3908
     33.50    1.0128    0.3971
     34.00    1.0251    0.4030
     34.50    1.0380    0.4092
     35.00    1.0531    0.4218
     35.50    1.0626    0.4326
     36.00    1.0681    0.4337
     36.50    1.0760    0.4383
     37.00    1.0857    0.4451
     37.50    1.0951    0.4515
     38.00    1.1045    0.4576
     38.50    1.1136    0.4637
     39.00    1.1230    0.4718
     40.00    1.1381    0.4929
    180.00    0.0556    0.0172
