AeroDyn airfoil file Created with QBlade v0.8 on 28.03.2015 at 15:16:44 Compatible with AeroDyn v13.0.
Polar "T1_Re0.320_M0.00_N9.0" on Foil "NACA 0020" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
5.90602        Cn slope for zero lift for linear Cn curve (1/rad)
1.0304         Cn at stall value for positive angle of attack for linear Cn curve
0.0517         Cn at stall value for negative angle of attack for linear Cn curve
0.50           Angle of attack for minimum CD (deg)
0.0105         Minimum CD value
      0.50    0.0516    0.0105
      1.00    0.1033    0.0105
      1.50    0.1548    0.0106
      2.00    0.2063    0.0107
      2.50    0.2576    0.0109
      3.00    0.3086    0.0111
      3.50    0.3592    0.0114
      4.00    0.4091    0.0118
      4.50    0.4590    0.0122
      5.00    0.5089    0.0126
      5.50    0.5589    0.0131
      6.00    0.6193    0.0138
      7.00    0.7488    0.0152
      7.50    0.8295    0.0160
      8.00    0.8962    0.0169
      8.50    0.9715    0.0177
      9.00    1.0403    0.0187
      9.50    1.0815    0.0196
     10.00    1.0657    0.0199
     10.50    1.0525    0.0206
     11.00    1.0580    0.0216
     11.50    1.0699    0.0229
     12.00    1.0857    0.0247
     12.50    1.1067    0.0264
     13.00    1.1203    0.0290
     13.50    1.1423    0.0313
     14.00    1.1551    0.0344
     14.50    1.1663    0.0379
     15.00    1.1813    0.0413
     15.50    1.1904    0.0455
     16.00    1.1926    0.0502
     16.50    1.2005    0.0550
     17.00    1.2049    0.0603
     17.50    1.2058    0.0661
     18.00    1.2045    0.0722
     18.50    1.2033    0.0781
     19.00    1.1959    0.0856
     19.50    1.1851    0.0938
     20.00    1.1724    0.1023
     20.50    1.1599    0.1109
     21.00    1.1502    0.1192
     21.50    1.1111    0.1320
     22.50    0.7196    0.2483
     23.00    0.7366    0.2534
     23.50    0.7564    0.2577
     24.00    0.7786    0.2615
     24.50    0.7957    0.2699
     25.00    0.8075    0.2778
     25.50    0.8069    0.2866
     26.00    0.8234    0.2920
     26.50    0.8412    0.2966
     27.00    0.8603    0.3010
     28.00    0.8889    0.3180
     28.50    0.9003    0.3250
     29.00    0.9058    0.3325
     29.50    0.9200    0.3386
     30.00    0.9352    0.3435
     30.50    0.9512    0.3479
     31.00    0.9683    0.3530
     31.50    0.9782    0.3649
     32.00    0.9883    0.3723
     32.50    0.9965    0.3789
     33.00    1.0069    0.3868
     33.50    1.0188    0.3931
     34.00    1.0307    0.3988
     34.50    1.0426    0.4040
     35.00    1.0546    0.4088
     35.50    1.0668    0.4141
     36.00    1.0760    0.4258
     36.50    1.0831    0.4331
     37.00    1.0907    0.4405
     37.50    1.0999    0.4489
     38.00    1.1089    0.4553
     38.50    1.1176    0.4610
     39.00    1.1261    0.4665
     39.50    1.1343    0.4716
     40.00    1.1422    0.4766
    180.00    0.0516    0.0105
