AeroDyn airfoil file Created with QBlade v0.8 on 28.03.2015 at 15:16:44 Compatible with AeroDyn v13.0.
Polar "T1_Re0.160_M0.00_N9.0" on Foil "NACA 0020" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.24593        Cn slope for zero lift for linear Cn curve (1/rad)
0.9872         Cn at stall value for positive angle of attack for linear Cn curve
0.0531         Cn at stall value for negative angle of attack for linear Cn curve
0.50           Angle of attack for minimum CD (deg)
0.0148         Minimum CD value
      0.50    0.0530    0.0148
      1.00    0.1061    0.0149
      1.50    0.1597    0.0152
      2.00    0.2144    0.0155
      2.50    0.2709    0.0160
      3.00    0.3296    0.0165
      3.50    0.3899    0.0171
      4.00    0.4513    0.0176
      4.50    0.5287    0.0184
      5.00    0.6082    0.0190
      5.50    0.6794    0.0195
      6.00    0.7553    0.0201
      6.50    0.8362    0.0207
      7.00    0.9139    0.0212
      7.50    0.9928    0.0218
      8.00    1.0163    0.0225
      9.00    1.0446    0.0238
      9.50    1.0541    0.0248
     10.00    1.0567    0.0255
     10.50    1.0582    0.0265
     11.00    1.0562    0.0275
     11.50    1.0688    0.0290
     12.00    1.0793    0.0305
     12.50    1.1017    0.0326
     13.00    1.1127    0.0348
     13.50    1.1402    0.0372
     14.00    1.1396    0.0403
     14.50    1.1494    0.0434
     15.00    1.1715    0.0467
     15.50    1.1611    0.0517
     16.00    1.1548    0.0571
     16.50    1.1602    0.0616
     17.00    1.1561    0.0678
     17.50    1.1045    0.0796
     18.00    0.6242    0.1848
     18.50    0.1407    0.0547
     19.00    0.1300    0.0556
     19.50    0.1461    0.0583
     20.00    0.1775    0.0639
     20.50    0.1628    0.0660
     21.00    0.1762    0.0694
     21.50    0.1975    0.0735
     22.00    0.2271    0.0820
     22.50    0.2147    0.0833
     23.00    0.2283    0.0877
     23.50    0.2458    0.0924
     24.00    0.2765    0.1008
     24.50    0.2763    0.1050
     25.00    0.2810    0.1085
     25.50    0.2958    0.1135
     26.00    0.3153    0.1195
     26.50    0.3405    0.1307
     27.00    0.3401    0.1340
     27.50    0.3441    0.1376
     28.00    0.3562    0.1430
     28.50    0.3706    0.1483
     29.00    0.3895    0.1560
     29.50    0.4067    0.1670
     30.00    0.4049    0.1694
     30.50    0.4118    0.1745
     31.00    0.4224    0.1805
     31.50    0.4337    0.1863
     32.00    0.4465    0.1928
     32.50    0.4652    0.2040
     33.00    0.4726    0.2118
     33.50    0.4724    0.2141
     34.00    0.4775    0.2190
     34.50    0.4856    0.2250
     35.00    0.4942    0.2306
     35.50    0.5042    0.2370
     36.00    0.5206    0.2494
     36.50    0.5256    0.2567
     37.00    0.5274    0.2607
     37.50    0.5288    0.2639
     38.00    0.5321    0.2681
     38.50    0.5372    0.2733
     39.00    0.5423    0.2781
     39.50    0.5477    0.2828
     40.00    0.5559    0.2901
    180.00    0.0530    0.0148
