AeroDyn airfoil file Created with QBlade v0.8 on 28.03.2015 at 15:16:44 Compatible with AeroDyn v13.0.
Polar "T1_Re0.340_M0.00_N9.0" on Foil "NACA 0020" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
5.90574        Cn slope for zero lift for linear Cn curve (1/rad)
1.0808         Cn at stall value for positive angle of attack for linear Cn curve
0.0516         Cn at stall value for negative angle of attack for linear Cn curve
0.50           Angle of attack for minimum CD (deg)
0.0103         Minimum CD value
      0.50    0.0515    0.0103
      1.00    0.1032    0.0103
      1.50    0.1547    0.0104
      2.00    0.2061    0.0105
      2.50    0.2576    0.0107
      3.00    0.3086    0.0109
      3.50    0.3593    0.0111
      4.00    0.4093    0.0114
      4.50    0.4582    0.0118
      5.00    0.5065    0.0123
      5.50    0.5582    0.0128
      6.00    0.6161    0.0134
      6.50    0.6766    0.0140
      7.00    0.7377    0.0148
      7.50    0.8188    0.0156
      8.00    0.8863    0.0164
      8.50    0.9610    0.0173
      9.00    1.0291    0.0182
      9.50    1.0926    0.0192
     10.00    1.0736    0.0195
     10.50    1.0542    0.0204
     11.00    1.0647    0.0212
     11.50    1.0718    0.0226
     12.00    1.0925    0.0241
     12.50    1.1099    0.0260
     13.00    1.1280    0.0283
     13.50    1.1486    0.0307
     14.00    1.1568    0.0342
     14.50    1.1739    0.0372
     15.00    1.1884    0.0407
     15.50    1.1939    0.0452
     16.00    1.1989    0.0497
     16.50    1.2069    0.0545
     17.00    1.2110    0.0599
     17.50    1.2103    0.0658
     18.00    1.2092    0.0713
     18.50    1.2069    0.0780
     19.00    1.2012    0.0853
     19.50    1.1932    0.0930
     20.00    1.1836    0.1010
     20.50    1.1741    0.1091
     21.00    1.1611    0.1171
     21.50    1.1301    0.1294
     22.00    1.0652    0.1480
     26.50    0.8471    0.2938
     27.00    0.8680    0.2988
     27.50    0.8755    0.3104
     28.00    0.8875    0.3177
     28.50    0.8929    0.3254
     29.00    0.9068    0.3319
     29.50    0.9219    0.3370
     30.00    0.9379    0.3415
     30.50    0.9548    0.3458
     31.00    0.9665    0.3570
     31.50    0.9769    0.3647
     32.00    0.9855    0.3718
     32.50    0.9955    0.3798
     33.00    1.0078    0.3859
     33.50    1.0200    0.3916
     34.00    1.0323    0.3968
     34.50    1.0446    0.4016
     35.00    1.0571    0.4068
     35.50    1.0666    0.4181
     36.00    1.0748    0.4254
     36.50    1.0818    0.4330
     37.00    1.0912    0.4417
     37.50    1.1005    0.4482
     38.00    1.1097    0.4538
     38.50    1.1186    0.4589
     39.00    1.1272    0.4639
     39.50    1.1356    0.4690
    180.00    0.0515    0.0103
